Parcel APN;NR_GH-Plants;NR_OD-Plants;Dist_to_grow_m;Km Priv. Road;Km Local Road;Mean elevation;PublicLand_YN;Prop_in_THP
21701302;0;0;0;1.665672395;0;632;0;0
21002239;56;47;100;0;0;631.7179487;0;0
20706104;0;0;0;0;0;630.9936306;0;0
21002244;157;28;30;1.73502443;0;628.0454545;0;0
20812106;0;0;0;3.414350498;0;626.5408163;1;0
20712604;0;0;0;0;0;626.4285714;0;0
20831112;0;0;0;0;0;625.8;0;0
21002245;0;149;150;2.472196718;0;625.6818182;0;0
21003307;0;0;0;0;0;625.1212121;0;0
20814111;0;0;0;3.837956999;0;624.3939394;0;0
20722203;0;0;0;0.53687371;0.13207714;623.5;0;0
20830108;0;0;0;0;0;620.9090909;0;0.082830322
20721403;0;0;0;4.735472827;0;620.71875;0;0
21002224;0;0;0;0.845142023;0;619.952381;0;0
21002225;0;0;0;2.871521941;0;619.8444444;0;0
20705401;0;0;0;0;0;619.2298851;0;0
21002222;0;0;0;0;0;618.6190476;0;0
21002226;0;16;60;1.837436496;0;618.6086957;0;0
21001203;0;0;0;0;0;617.1910112;0;0
20721203;0;0;0;0;0;616.8947368;0;0
21002252;0;0;0;0;0;615.5555556;0;0
20706501;0;0;0;0;1.864622295;615.2865854;0;0
21004214;181;38;30;0.083038066;0;615.0322581;0;0.00291085
21002223;0;0;0;0.603119017;0;613.7142857;0;0
21701201;0;0;0;0.206995269;0;613.4947368;0;0.003897012
21004218;153;58;30;0.407653585;0;612.21875;0;0
21002218;0;0;0;0.701422118;0;607.8695652;0;0
20811220;0;0;0;0.357548133;0;607.5652174;0;0
20721402;0;0;0;12.45538778;0;607.3529412;0;0.018719047
20811216;0;0;0;0;0;607.2173913;0;0
20811217;0;20;300;0;0;607.1304348;0;0
21002221;0;0;0;0;0;607.0454545;0;0
20718406;0;0;0;6.066398193;0;606.3714286;0;0
20811219;0;0;0;0;0;605.7727273;0;0
21703301;0;0;0;0;0;605.5918367;0;0
20705601;0;0;0;0;0;604.3869347;0;0
20830107;0;0;0;0;0;604.1101695;0;0
20939115;0;0;0;0.945809275;0;603.1492537;0;0.318530707
20718605;0;0;0;0;0;601.5333333;0;0
20705302;0;0;0;0;0;601.3;0;0
21003103;0;0;0;0;0;600.7567568;0;0
20938110;0;0;0;5.530257471;0;600.720339;0;0.022694034
20811214;0;80;30;0;0;599.0909091;0;0
20722204;0;0;0;1.8884637;0;598.78;0;0
20811215;0;0;0;0;0;598.4347826;0;0
21001104;599;88;750;0;0;597.7222222;0;0
20811218;0;0;0;0;0;597.4583333;0;0
21004111;696;9;120;0;0;597.2735849;1;0
21001218;0;0;0;0;0;596.4571429;0;0
20939102;0;0;0;5.370346454;0;595.3275434;0;0.008867598
21002243;0;0;0;1.34096943;0;593.25;0;0
20721301;0;0;0;0;0;591.9272727;0;0
20938104;0;0;0;0.314438504;0;591.6470588;0;0.934696805
20801301;0;0;0;0;0;591.5073892;0;0
20939118;0;0;0;1.615589584;0;590.754386;0;0
20811212;40;84;50;0;0;589.0909091;0;0
20810102;0;0;0;0;0;588.8913043;0;0
20813401;0;0;0;0;0;587.5217391;0;0
20938109;0;0;0;1.122879462;0;586.754386;0;0.776766968
20814232;0;0;0;0;0;584.6896552;0;0
20811213;0;192;10;0;0;582.3913043;0;0
20939117;0;0;0;2.7534227;0;578.9561404;0;0.003073689
20812105;0;0;0;3.47366697;0;578.9074074;1;0
20718609;0;0;0;0;0;577.6212121;0;0
20813403;0;0;0;2.017061977;0;575.65625;0;0
21004108;227;54;160;0;0;574.64;0;0
20811211;100;10;100;0;0;574.2173913;0;0
20939103;0;0;0;9.33213217;0;573.7692308;0;0
20721401;0;0;0;2.436928462;0;570.091954;0;0
20811306;0;0;0;0;0;569.92;0;0
20938116;0;0;0;7.605620744;0;566.5178082;0;0.073282695
21001101;0;0;0;0;0;566.5025126;0;0
21701104;0;0;0;0;0;566.0333333;0;0.923844299
20802604;0;0;0;0;0;565.8579235;0;0
20814214;0;0;0;0.420381223;0;559.65;0;0
20811210;0;173;130;0;0;559.4761905;0;0
21001206;0;0;0;0;0;557.08;0;0
20718613;0;0;0;0;0;556.96;0;0
20723201;0;0;0;10.68911402;0;556.2312139;0;0
20814215;0;0;0;0.59636229;0;553.76;0;0
20815601;0;0;0;5.454275941;0;553.5697674;0;0
20809101;0;0;0;0;0;553.1388889;0;0
20706401;0;0;0;0;0;552.8318584;0;0
21004105;35;0;10;0;0;551.2416667;0;0
20718408;0;0;0;0;0;550.1185185;0;0
20940106;0;0;0;12.46615314;0;549.3713528;0;0
20723301;0;0;0;2.470614679;0;549.1793478;0;0
20712501;0;0;0;0;0;546.9069767;0;0.969654595
20722304;0;0;0;0;0;544;0;0.100262321
21701103;0;0;0;0;0;542.9666667;0;0.477758355
21004107;0;63;30;0;0;541.44;0;0
20814107;0;0;0;0;0;541.2777778;0;0
21002236;0;0;0;1.573116535;0;540.6551724;0;0
20810101;0;0;0;0;0;539.5423077;0;0
20722201;0;0;0;4.330107527;0;539.5026455;0;0
20801201;0;0;0;0;0;538.0403023;0;0
20940115;0;0;0;7.034809916;0;536.1891892;0;0
21001220;0;105;50;0;0;535.5268817;0;0.002489408
20721101;0;0;0;0;0;535.2068966;0;0
20814230;0;0;0;0;0;534.4642857;0;0
20712602;0;0;0;0;0;534.195122;0;0.930465994
20722202;0;0;0;2.365821862;0;532.8777778;0;0
20940104;0;0;0;18.35691531;0;532.471464;0;0
20708202;0;0;0;0;5.902580656;531.4063325;0;0
21701602;0;0;0;0;0;531.3125;0;0.849435026
21703302;0;0;0;0;0.173701809;529.3578947;0;0
20712502;0;0;0;0;0;529.2097902;0;0.711863375
20612113;0;0;0;0;0;523.2333333;0;0
20811208;0;0;0;0;0;522.5555556;0;0
20612125;0;0;0;0;0;521.16;0;0
20712603;0;0;0;0;0;520.3409091;0;0.003072008
20813404;0;0;0;2.884426094;0;520.0518135;0;0
20707201;0;0;0;0;4.979701097;515.0547945;0;0
20705502;0;0;0;0;0;510.8333333;0;0
20811235;0;0;0;0;0;510.8;0;0
20811304;89;41;190;0;0;510.36;0;0
20811231;0;0;0;0;0;509.3157895;0;0
20809102;0;0;0;0;0;506.4915254;0;0
20705503;0;0;0;0;0;506.0942029;0;0
20707601;0;0;0;0;0;505.3641975;0;0
20811227;0;0;0;0;0;498.1724138;0;0
21002235;53;337;320;1.66297167;0;497.0882353;0;0
20706202;0;0;0;0;0;497.0123457;0;0
20718610;0;0;0;0;0;496;0;0
20707206;0;0;0;0.283677802;2.251057348;494.0163934;0;0
20925103;0;0;0;0.41168024;0;493.38;0;0
21001108;0;0;0;0;0;492.3;0;0
